August,22,4805402,Flinders St-Elizabeth St (East),Eli274_T,-37.817863,144.96507
August,13,4648096,Flagstaff Station,Wil277_T,-37.812397,144.95653
September,4,11301597,Town Hall (West),Swa123_T,-37.81488,144.9661
September,3,9815677,Melbourne Central,Swa295_T,-37.811016,144.9643
September,6,9364691,Flinders Street Station Underpass,FliS_T,-37.81912,144.96558
September,2,8226187,Bourke Street Mall (South),Bou283_T,-37.81381,144.96516
September,1,8088443,Bourke Street Mall (North),Bou292_T,-37.813496,144.96515
September,5,7679505,Princes Bridge,PriNW_T,-37.81874,144.96788
September,15,6171390,State Library,QV_T,-37.810642,144.96448
September,22,6124739,Flinders St-Elizabeth St (East),Eli274_T,-37.817863,144.96507
September,24,5999520,Spencer St-Collins St (North),Col620_T,-37.81888,144.9545
September,28,4634781,The Arts Centre,VAC_T,-37.8213,144.9688
October,4,10875527,Town Hall (West),Swa123_T,-37.81488,144.9661
October,6,10123509,Flinders Street Station Underpass,FliS_T,-37.81912,144.96558
October,2,8561604,Bourke Street Mall (South),Bou283_T,-37.81381,144.96516
October,1,8536518,Bourke Street Mall (North),Bou292_T,-37.813496,144.96515
October,3,8003718,Melbourne Central,Swa295_T,-37.811016,144.9643
October,5,7684650,Princes Bridge,PriNW_T,-37.81874,144.96788
October,15,6703025,State Library,QV_T,-37.810642,144.96448
October,24,6575269,Spencer St-Collins St (North),Col620_T,-37.81888,144.9545
October,22,5462644,Flinders St-Elizabeth St (East),Eli274_T,-37.817863,144.96507
October,28,4901760,The Arts Centre,VAC_T,-37.8213,144.9688
November,4,11476696,Town Hall (West),Swa123_T,-37.81488,144.9661
November,6,10044477,Flinders Street Station Underpass,FliS_T,-37.81912,144.96558
November,2,9419487,Bourke Street Mall (South),Bou283_T,-37.81381,144.96516
November,3,9178487,Melbourne Central,Swa295_T,-37.811016,144.9643
November,5,8538713,Princes Bridge,PriNW_T,-37.81874,144.96788
November,1,8254750,Bourke Street Mall (North),Bou292_T,-37.813496,144.96515
November,22,7078747,Flinders St-Elizabeth St (East),Eli274_T,-37.817863,144.96507
November,24,6342236,Spencer St-Collins St (North),Col620_T,-37.81888,144.9545
November,15,6174034,State Library,QV_T,-37.810642,144.96448
November,28,5082253,The Arts Centre,VAC_T,-37.8213,144.9688
December,4,13667273,Town Hall (West),Swa123_T,-37.81488,144.9661
December,2,12606593,Bourke Street Mall (South),Bou283_T,-37.81381,144.96516
December,6,10924522,Flinders Street Station Underpass,FliS_T,-37.81912,144.96558
December,5,10026551,Princes Bridge,PriNW_T,-37.81874,144.96788
December,1,9704089,Bourke Street Mall (North),Bou292_T,-37.813496,144.96515
December,3,9290541,Melbourne Central,Swa295_T,-37.811016,144.9643
December,22,7058906,Flinders St-Elizabeth St (East),Eli274_T,-37.817863,144.96507
December,15,6079839,State Library,QV_T,-37.810642,144.96448
December,35,6049335,Southbank,SouthB_T,-37.82018,144.96509
December,24,5553231,Spencer St-Collins St (North),Col620_T,-37.81888,144.9545
